user_id,day,phase,age_group,verification_nudge,interaction_limit,persuasive_notifications_reduced,ai_unavailable,ai_prompts_per_day,micro_checks_per_day,screen_time_hours,continuous_use_minutes,breaks_taken,verification_complexity,verification_rate,reliance_type,accept_without_check,error_rate,decision_latency_seconds,decision_latency_with_ai_sec,decision_latency_without_ai_sec,confidence_without_ai,eye_dryness_score,neck_pain_score,headaches_per_week,ai_for_social_messages,mood_checkins,emotional_support_requests,serious_topics_with_ai,pii_shared,harmful_exposure_count,ai_reliance_baseline,planning_skill,online_intensity
1,1,AS-IS,15-17,0,0,0,0,42,113,8.78,129.6,0,2,0.5,appropriate,0,0.211,239.0,228.0,274.3,3.3,7.51,5.45,1,0,1,1,0,0,0,0.609,0.629,0.55
1,2,AS-IS,15-17,0,0,0,0,35,109,8.85,177.6,0,1,0.546,appropriate,0,0.11,205.9,186.3,268.9,3.21,7.85,6.75,4,0,2,0,0,0,0,0.609,0.629,0.55
1,3,AS-IS,15-17,0,0,0,0,37,112,8.16,91.8,1,1,0.57,appropriate,0,0.102,220.3,200.2,285.2,3.11,5.76,4.85,2,0,1,4,0,0,1,0.609,0.629,0.55
1,4,AS-IS,15-17,0,0,0,0,36,115,8.75,125.3,0,3,0.466,appropriate,0,0.293,222.7,197.0,305.4,3.35,6.64,5.67,2,0,0,1,1,0,1,0.609,0.629,0.55
1,5,AS-IS,15-17,0,0,0,0,36,95,7.74,156.4,0,2,0.748,appropriate,0,0.148,223.1,220.7,230.7,2.97,6.66,4.71,2,0,2,1,1,0,2,0.609,0.629,0.55
1,6,AS-IS,15-17,0,0,0,0,29,110,8.09,203.7,0,1,0.698,appropriate,0,0.072,205.1,190.3,253.0,3.21,7.37,6.18,3,0,1,0,1,1,1,0.609,0.629,0.55
1,7,AS-IS,15-17,0,0,0,0,32,97,8.32,176.1,0,2,0.51,appropriate,0,0.18,226.3,204.7,296.0,3.47,7.82,6.83,1,0,2,1,1,1,0,0.609,0.629,0.55
1,8,AS-IS,15-17,0,0,0,0,34,109,8.09,168.3,3,3,0.317,appropriate,0,0.3,234.7,208.1,320.4,3.55,6.71,4.74,4,1,1,0,0,0,0,0.609,0.629,0.55
1,9,AS-IS,15-17,0,0,0,1,7,23,3.77,62.2,2,1,0.588,appropriate,0,0.088,198.5,204.4,198.5,3.05,2.69,2.25,2,1,1,3,0,0,0,0.609,0.629,0.55
1,10,AS-IS,15-17,0,0,0,0,40,110,9.23,198.2,2,3,0.408,appropriate,0,0.3,237.1,234.0,247.1,3.38,8.08,6.63,3,1,0,0,0,0,0,0.609,0.629,0.55
1,11,AS-IS,15-17,0,0,0,0,30,95,8.4,159.8,0,1,0.739,appropriate,0,0.114,201.6,188.0,245.7,3.66,7.22,5.43,2,0,1,0,0,0,0,0.609,0.629,0.55
1,12,AS-IS,15-17,0,0,0,0,33,98,7.54,99.1,0,1,0.808,appropriate,0,0.143,192.3,168.3,269.9,3.83,5.63,4.88,2,0,2,1,1,1,0,0.609,0.629,0.55
1,13,AS-IS,15-17,0,0,0,0,39,113,8.43,187.5,0,3,0.416,appropriate,0,0.3,224.3,207.2,279.2,3.26,7.27,6.37,2,0,2,1,0,1,0,0.609,0.629,0.55
1,14,AS-IS,15-17,0,0,0,0,43,126,9.09,147.7,0,1,0.743,appropriate,0,0.048,200.4,192.3,226.2,3.77,6.91,6.74,2,0,2,1,1,0,0,0.609,0.629,0.55
1,15,AS-IS,15-17,0,0,0,0,47,136,10.0,171.3,0,2,0.474,appropriate,0,0.227,207.6,192.1,257.6,2.93,8.31,6.69,1,0,0,0,1,0,0,0.609,0.629,0.55
1,16,TO-BE,15-17,1,1,1,0,20,76,5.95,147.4,2,2,0.648,appropriate,0,0.201,187.4,176.2,223.5,3.31,5.21,4.02,1,0,1,2,0,0,0,0.609,0.629,0.55
1,17,TO-BE,15-17,0,1,1,0,29,67,7.11,96.0,1,3,0.481,appropriate,0,0.262,258.7,252.7,278.0,3.18,5.93,4.55,1,0,3,2,0,0,0,0.609,0.629,0.55
1,18,TO-BE,15-17,1,0,1,0,29,85,7.89,169.4,0,1,0.843,appropriate,0,0.12,209.6,209.5,209.8,2.82,6.51,5.96,2,1,1,0,0,0,0,0.609,0.629,0.55
1,19,TO-BE,15-17,0,0,0,0,28,116,9.34,160.0,1,1,0.758,appropriate,0,0.099,203.6,196.4,226.7,3.04,7.1,5.67,1,1,1,1,0,0,0,0.609,0.629,0.55
1,20,TO-BE,15-17,1,0,0,0,36,106,8.29,156.5,1,3,0.632,appropriate,0,0.3,230.1,214.0,282.1,3.08,6.24,6.29,1,0,0,4,0,0,0,0.609,0.629,0.55
1,21,TO-BE,15-17,1,1,1,0,27,81,7.38,135.8,3,2,0.696,appropriate,0,0.199,214.6,186.0,306.7,3.2,5.98,5.25,2,0,1,1,0,0,0,0.609,0.629,0.55
1,22,TO-BE,15-17,0,1,1,0,23,61,6.68,119.7,1,1,0.743,appropriate,0,0.075,178.9,160.3,238.7,3.46,5.5,4.21,2,1,5,0,0,0,0,0.609,0.629,0.55
1,23,TO-BE,15-17,1,1,1,0,29,84,7.7,146.8,2,1,0.808,appropriate,0,0.044,152.5,143.0,182.9,3.45,6.22,5.08,2,1,1,1,1,0,0,0.609,0.629,0.55
